lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
0,0,65.0,12,21,3,1,0,0,0,1
162,1,105.83,8,15,4,3,1,0,0,0
217,2,63.75,11,20,4,2,2,3,0,0
37,3,90.9,10,19,4,3,1,0,0,1
27,1,115.0,9,18,4,2,1,3,0,1
86,0,122.0,12,8,4,3,0,0,0,0
174,0,115.2,6,5,4,0,2,0,3,0
174,0,70.0,10,10,3,1,1,0,0,0
27,1,110.0,10,29,4,1,2,3,0,1
150,0,101.0,1,2,3,1,2,1,0,1
81,1,80.75,10,6,4,3,0,0,0,0
40,0,72.76,9,19,4,1,2,0,0,1
56,1,140.4,5,13,4,2,0,0,3,1
148,2,79.2,12,8,4,3,0,3,0,0
180,0,108.9,10,1,4,1,2,0,0,0
113,1,186.3,8,11,4,2,0,0,5,1
96,1,87.3,4,18,4,2,1,0,0,1
217,2,90.1,5,25,4,4,0,0,0,0
48,1,88.5,4,17,4,1,2,3,0,1
121,1,96.9,7,6,3,4,0,0,0,1
66,1,92.7,4,1,4,2,1,0,0,1
161,0,130.0,3,25,3,2,1,1,0,0
21,2,139.0,9,15,4,2,0,3,0,1
213,0,130.0,6,7,3,3,0,0,0,0
189,1,99.45,7,17,4,3,2,0,3,1
1,2,91.38,11,20,4,2,2,0,0,1
255,0,106.0,11,7,2,2,1,0,4,0
85,0,119.7,8,3,4,3,0,0,0,0
173,1,65.49,7,11,4,3,1,0,0,1
50,1,52.0,1,14,3,3,0,0,0,1
1,0,79.0,2,9,4,1,0,3,0,0
142,0,109.8,8,26,4,2,0,0,3,0
7,0,65.0,11,22,2,2,0,0,0,1
8,2,80.85,9,8,4,2,0,0,0,1
42,0,72.0,11,4,3,2,0,0,0,1
3,0,110.0,10,7,0,2,1,0,3,0
17,0,83.2,11,27,4,3,2,0,0,0
3,1,120.0,10,1,4,1,0,0,0,1
63,1,118.8,4,19,4,3,0,0,3,1
186,0,80.0,4,22,3,2,1,0,0,1
86,0,61.5,3,23,3,4,0,0,0,1
78,0,100.0,3,25,4,2,1,0,0,0
22,1,67.0,2,19,2,1,0,0,0,1
27,3,110.0,8,31,4,2,0,0,0,1
32,0,73.0,11,20,3,2,0,0,0,1
0,0,105.0,8,9,4,0,1,0,0,1
2,0,110.0,5,19,0,1,0,0,3,1
34,0,194.85,8,15,4,3,1,1,0,0
96,0,94.5,7,11,4,1,2,1,0,0
14,0,0.0,4,11,1,1,1,0,0,1
377,1,115.0,10,14,3,2,0,1,0,0
94,0,90.0,11,4,4,2,1,0,0,0
119,1,114.3,8,16,4,2,0,0,0,1
0,0,95.0,6,15,2,1,0,0,0,1
53,0,93.6,11,21,4,1,1,0,0,0
20,0,84.0,7,4,2,1,1,0,0,1
21,0,65.0,12,17,2,2,0,0,0,1
114,2,127.8,7,30,4,1,0,0,3,1
177,0,77.03,7,18,4,2,1,0,0,0
256,1,115.0,6,15,3,2,0,1,0,0
131,1,144.67,10,4,4,3,0,0,0,1
55,1,139.5,10,12,4,3,0,0,3,0
180,0,70.0,10,16,3,1,0,0,0,0
22,0,124.0,9,20,4,2,2,0,0,0
108,0,199.8,10,11,4,4,0,0,5,0
102,3,156.0,7,10,4,4,2,1,3,1
78,1,138.6,10,26,4,2,0,1,3,1
301,1,115.0,7,30,3,1,1,1,0,0
149,1,144.14,6,4,4,5,2,0,3,0
141,1,129.6,9,14,4,4,0,0,0,1
145,0,65.0,1,3,3,1,2,0,0,1
206,0,58.14,7,28,4,3,1,3,0,0
19,0,90.0,10,6,3,3,0,0,0,1
257,0,101.5,7,1,3,2,0,1,0,0
5,1,110.0,5,24,2,2,0,0,0,1
174,1,85.5,6,29,4,3,0,3,0,1
159,1,133.2,9,28,4,4,1,0,3,0
192,0,95.0,6,24,3,2,0,0,0,1
2,1,102.0,1,31,4,2,2,0,0,1
141,0,90.0,11,25,4,2,0,0,0,1
17,1,89.3,1,26,4,5,1,0,3,1
3,1,112.5,4,2,4,2,2,0,0,1
8,1,108.57,5,10,4,2,0,0,3,0
101,0,84.58,7,11,3,2,1,0,0,1
68,2,220.0,11,7,4,3,1,0,4,1
2,1,88.0,1,22,4,2,0,0,0,1
65,2,143.7,7,21,4,3,0,0,3,1
34,1,103.5,10,12,4,2,1,0,0,1
30,0,116.1,5,21,4,1,0,3,0,0
418,0,107.0,9,26,3,2,1,1,0,0
85,0,140.4,6,2,4,1,0,0,3,0
12,0,65.0,8,5,2,3,0,0,0,1
38,1,207.9,9,11,4,3,2,0,5,0
13,0,52.5,12,28,3,3,1,0,3,1
91,0,65.0,9,14,2,2,0,0,0,1
27,0,108.0,9,30,3,2,0,0,0,1
148,2,133.45,7,21,4,3,2,0,0,1
119,0,99.3,4,29,4,2,1,0,0,1
43,0,123.9,7,19,4,3,0,0,0,0
128,0,103.5,7,7,4,3,0,3,0,0
62,0,109.8,9,4,4,0,1,0,0,0
6,0,129.0,5,12,2,1,0,0,0,1
121,0,90.0,6,24,3,2,1,0,0,0
188,0,130.0,6,15,3,2,0,0,0,0
27,0,120.0,6,9,3,1,0,0,0,1
285,0,100.0,10,3,3,3,1,0,0,0
30,1,125.1,8,15,4,5,2,3,0,1
4,1,113.0,6,26,4,0,2,3,0,1
3,2,106.0,8,21,4,2,0,0,0,1
349,0,90.0,10,4,3,5,1,0,0,0
35,3,99.0,9,25,4,0,2,3,0,1
39,0,101.5,8,14,3,2,0,1,0,1
34,0,99.45,10,16,4,2,0,0,0,1
11,1,152.67,6,2,4,3,0,0,3,1
114,0,75.0,7,1,3,2,1,0,0,0
33,1,135.9,8,8,4,2,1,0,0,0
258,0,110.0,10,16,3,0,1,0,0,0
65,0,98.1,9,6,4,1,0,0,0,1
110,1,70.0,12,9,3,4,0,0,0,1
59,2,89.25,10,15,4,4,2,0,0,1
418,0,107.0,9,26,4,2,1,1,0,0
4,2,114.73,5,23,4,0,1,3,0,1
157,1,132.18,7,27,4,4,0,0,3,0
88,0,80.0,10,7,2,2,0,0,0,1
13,0,120.0,4,2,4,2,2,0,0,0
35,0,99.0,9,26,4,0,1,3,0,0
242,0,150.45,10,7,4,3,2,0,3,0
97,1,108.3,4,28,4,3,0,0,0,1
75,2,93.6,11,18,4,2,1,0,0,1
7,1,109.0,4,23,4,1,2,3,0,1
92,1,96.3,4,14,4,3,0,0,0,1
65,1,118.14,9,25,4,3,2,0,0,1
9,1,97.0,3,17,4,1,0,3,0,1
150,0,80.0,1,18,3,4,1,0,0,1
4,0,81.0,2,19,2,2,1,0,0,1
86,0,87.5,9,24,3,2,0,0,0,1
138,1,148.5,7,12,4,3,0,1,0,1
74,0,101.5,9,18,3,2,0,1,0,1
3,0,199.4,4,7,4,8,2,0,5,0
124,2,156.61,12,26,4,3,1,0,5,0
44,3,85.5,8,28,3,3,2,0,0,1
13,0,96.0,12,5,4,0,1,0,0,1
7,1,134.0,9,21,2,1,0,0,4,1
133,0,122.63,10,31,4,3,1,0,3,0
49,1,69.52,12,24,4,1,0,3,1,1
237,2,90.95,10,17,4,3,1,0,0,0
39,0,129.7,9,25,4,0,1,0,0,1
292,0,115.0,7,21,4,2,0,1,0,0
222,2,70.55,12,27,4,5,0,3,0,1
41,2,118.96,9,22,3,3,1,0,0,1
58,1,90.9,3,31,4,3,0,0,0,1
25,2,96.9,12,7,4,4,1,0,3,1
239,0,112.2,6,15,3,2,0,1,0,0
12,1,93.0,2,7,4,0,1,0,0,0
44,0,87.2,11,19,4,1,1,3,0,0
116,0,61.0,2,28,3,1,2,0,0,0
1,0,140.0,10,21,4,2,0,0,0,1
141,0,85.0,11,27,4,2,2,0,0,1
291,0,115.0,8,19,3,2,0,1,0,0
180,1,100.0,5,2,3,1,1,0,0,1
54,1,117.0,12,30,4,4,1,0,3,1
226,0,112.0,9,2,4,2,1,3,0,0
1,1,184.0,9,13,2,1,0,0,0,1
91,1,90.9,4,12,4,3,0,0,0,1
5,1,93.0,2,25,4,3,0,0,0,1
7,1,108.33,6,13,4,2,1,0,0,1
4,0,76.5,6,20,3,0,1,0,0,1
19,1,77.25,12,23,4,1,0,0,1,1
33,1,80.82,2,15,4,4,1,0,0,1
127,3,90.0,11,2,4,4,1,0,0,1
82,0,72.25,6,6,3,3,1,3,0,1
2,1,101.0,4,3,4,0,2,0,0,1
51,1,158.4,10,17,4,1,1,0,3,0
4,0,188.0,9,27,3,2,0,0,0,1
211,0,100.0,5,20,3,2,0,0,0,0
64,1,117.9,6,19,4,1,2,0,0,1
263,0,110.0,10,21,3,2,0,0,0,0
3,1,104.0,12,5,4,1,2,0,0,1
80,0,119.07,10,6,4,3,0,0,3,0
15,0,125.67,4,29,4,2,1,3,0,0
31,2,87.41,12,4,4,10,5,3,0,0
95,1,85.0,11,18,4,3,2,0,0,1
14,0,65.0,11,16,2,1,0,0,0,1
26,1,89.0,4,18,4,1,1,3,0,1
110,0,120.0,10,9,4,0,1,0,0,0
14,0,126.0,4,7,4,3,0,0,3,0
131,0,126.36,9,28,4,4,0,0,3,0
6,0,0.0,11,13,1,0,1,0,5,1
5,1,109.0,8,1,4,1,1,3,0,0
191,0,132.0,6,3,3,2,1,0,0,0
242,0,100.3,9,10,4,2,2,0,0,0
102,0,101.5,10,16,3,2,0,1,0,0
2,0,66.0,1,14,2,1,0,0,0,1
233,0,90.0,10,14,3,2,1,0,0,0
0,0,109.0,8,14,3,2,0,1,0,1
309,0,101.0,5,13,4,2,1,1,0,0
76,2,116.1,5,16,4,2,1,3,0,1
96,0,90.95,9,13,3,3,0,0,3,1
13,0,98.4,9,16,4,1,0,0,0,1
33,0,64.0,1,25,2,1,1,0,0,1
166,0,110.0,11,1,3,3,0,0,0,0
51,0,112.0,11,4,3,2,1,0,0,1
0,0,153.0,8,8,4,1,2,3,5,1
30,2,94.5,9,13,4,2,2,0,0,1
9,1,93.0,2,21,4,1,2,0,0,1
72,0,108.0,9,18,3,1,0,1,0,1
35,2,111.42,8,29,4,4,1,0,0,0
148,0,88.12,6,29,3,3,0,0,3,1
12,3,99.0,8,23,4,2,2,0,0,1
37,0,95.0,10,13,3,3,0,0,0,1
109,1,90.96,5,8,3,3,2,0,3,1
125,2,90.67,7,2,4,4,2,3,0,1
116,0,76.0,2,28,3,1,2,0,0,1
1,0,80.0,7,21,3,1,0,3,0,1
15,0,65.0,12,7,2,1,0,0,0,1
168,1,112.8,7,18,4,2,1,0,3,0
142,2,94.5,8,3,4,1,0,3,0,1
0,0,84.0,3,2,3,1,0,3,0,1
0,0,0.0,9,8,1,1,0,0,0,1
77,1,96.3,4,25,4,1,1,0,0,1
134,2,135.0,10,15,4,1,2,0,3,1
55,2,130.05,4,22,4,2,2,0,0,1
17,1,113.33,10,2,4,2,1,0,0,1
219,0,84.0,9,4,3,1,0,1,0,1
17,0,97.7,11,27,4,3,2,0,0,0
273,0,109.0,7,17,3,2,0,1,0,0
0,1,135.0,7,5,4,1,0,0,0,1
140,1,116.45,7,4,4,5,1,0,3,0
11,1,69.5,1,20,4,4,0,3,0,1
28,0,70.0,10,5,3,1,1,0,0,0
1,0,84.0,7,26,2,1,0,0,0,1
12,0,76.29,12,3,4,2,2,3,0,1
21,0,150.45,11,2,4,3,1,0,5,1
146,1,116.45,7,31,4,3,2,0,0,1
90,0,76.5,8,16,4,4,2,0,0,0
79,1,159.3,5,13,4,2,0,0,3,0
2,0,140.0,10,25,4,1,0,0,0,1
110,0,94.5,7,25,4,1,2,1,0,0
121,0,97.54,7,25,4,2,1,0,1,0
17,0,95.0,6,13,3,3,1,0,0,0
7,1,144.86,11,6,4,5,2,0,0,1
141,1,128.8,9,23,4,2,0,0,0,1
14,0,79.25,1,21,4,3,0,0,1,1
259,0,90.0,5,5,3,3,0,0,0,0
2,0,120.0,9,29,2,1,0,0,0,1
3,2,113.0,6,26,4,0,2,3,0,1
76,1,87.3,4,2,4,1,2,0,0,1
37,1,119.0,10,27,4,3,0,0,0,1
113,0,118.8,9,7,4,4,1,0,0,0
44,2,91.8,11,1,4,5,0,0,0,1
6,1,148.5,10,6,4,4,0,0,0,1
1,0,89.25,6,17,3,1,0,1,0,1
57,1,132.6,5,15,4,3,2,0,3,1
87,1,102.3,6,26,4,1,2,0,0,1
135,0,80.0,9,14,3,2,1,0,0,1
120,0,110.59,5,12,4,3,1,0,0,0
33,1,140.4,4,29,4,2,2,0,3,1
45,1,101.7,6,20,4,2,1,0,0,1
21,0,85.0,10,4,3,3,0,0,0,1
5,1,119.8,12,7,3,3,0,0,4,1
301,0,52.0,11,18,3,2,0,0,0,0
3,0,58.0,12,17,3,3,0,0,0,1
35,1,83.9,3,3,4,3,1,0,0,1
267,0,115.2,10,1,4,1,1,0,3,0
99,1,101.58,4,28,4,3,1,0,0,1
0,0,0.0,1,30,1,1,0,0,0,1
7,0,67.0,5,23,2,2,1,0,0,1
4,0,119.0,3,21,4,1,1,0,0,0
0,1,90.1,12,6,4,5,2,0,0,1
101,2,90.0,11,26,4,1,2,0,0,1
117,0,94.5,8,1,3,1,2,1,0,1
17,1,97.77,8,28,4,10,4,0,0,0
8,1,124.1,5,29,4,1,2,0,3,1
104,0,80.75,4,28,3,4,2,0,0,1
43,2,176.67,11,9,4,3,0,0,0,1
103,0,115.0,4,19,3,2,0,0,0,0
2,0,120.0,11,16,3,3,0,0,0,1
17,0,95.0,12,9,4,2,0,3,0,1
219,0,108.0,9,4,4,1,0,1,0,0
5,1,162.0,8,15,4,1,1,0,5,0
70,0,59.5,3,24,3,3,0,0,0,1
104,1,108.0,10,9,4,0,1,3,0,0
31,0,107.1,6,20,4,1,1,0,3,0
305,0,89.0,11,4,4,2,1,0,0,0
17,2,238.15,9,17,4,2,2,0,6,1
25,2,126.48,11,10,4,3,1,0,3,1
220,1,114.75,12,30,4,2,2,0,3,0
4,0,94.0,11,8,2,1,0,0,3,1
21,0,103.67,12,27,4,1,2,0,0,1
265,0,83.33,6,24,3,2,1,0,0,1
13,1,85.0,3,20,3,0,1,0,0,1
270,0,80.0,4,20,3,4,0,0,0,1
76,2,120.9,11,10,4,3,0,0,0,1
49,0,159.3,5,7,4,1,1,0,3,0
123,0,76.5,7,13,4,3,1,0,0,0
2,0,110.0,10,12,0,2,0,0,3,1
304,0,89.0,11,3,3,3,0,0,0,0
23,0,89.0,4,8,4,1,0,3,0,1
1,0,95.0,11,13,4,0,2,3,0,0
166,0,110.0,11,1,4,3,0,0,0,0
58,1,98.6,3,29,4,4,0,0,3,1
61,1,89.25,10,13,4,4,0,0,0,1
94,0,149.7,7,28,4,3,0,0,3,1
48,0,80.0,9,11,3,1,0,1,0,1
0,0,124.0,8,11,4,3,0,0,0,1
87,1,103.5,7,4,4,4,1,3,0,1
58,2,123.3,9,2,4,2,1,0,3,1
11,2,182.0,3,24,4,2,0,0,3,1
1,0,92.0,4,6,3,1,0,1,3,1
2,0,140.0,10,12,4,2,0,0,0,1
112,0,120.0,10,11,3,2,0,0,0,1
6,0,90.0,5,17,3,1,0,0,0,1
4,0,69.5,1,14,4,1,0,3,0,1
55,1,73.9,2,22,4,2,1,0,0,1
31,0,89.1,6,1,4,1,0,3,0,0
1,0,67.0,9,6,2,3,0,0,0,1
159,1,70.0,4,9,3,1,1,0,0,1
268,0,95.4,10,1,4,1,1,3,0,0
29,0,96.3,10,11,4,2,2,0,0,1
69,0,120.0,6,12,3,4,2,0,0,0
51,2,130.9,12,20,4,5,1,0,3,1
94,1,132.6,5,17,4,4,0,0,3,1
279,0,110.0,10,12,4,3,0,0,0,0
7,2,124.0,12,13,4,2,0,0,0,1
36,2,89.1,6,1,4,1,0,3,0,1
14,3,98.0,9,11,4,0,2,3,0,1
88,0,75.0,5,8,3,3,2,0,0,1
79,1,96.3,4,16,4,1,2,0,0,1
92,1,106.43,10,31,4,3,1,0,0,0
25,1,108.99,10,3,4,2,1,0,0,1
0,1,149.0,6,20,4,1,1,0,3,1
36,1,126.9,5,22,4,0,1,0,0,0
10,0,120.0,11,10,4,1,0,0,0,0
3,1,177.5,9,19,4,1,1,0,3,1
79,2,162.3,4,4,4,2,1,0,5,1
84,0,134.1,8,14,4,2,2,0,0,0
86,0,85.0,8,4,3,5,2,0,0,1
70,2,165.63,7,14,4,3,1,0,6,1
114,2,135.9,9,23,4,2,1,0,0,1
65,1,68.0,12,4,3,2,2,0,0,1
13,0,131.6,4,14,3,1,0,1,0,1
25,0,158.0,5,19,4,3,1,0,5,0
0,0,0.0,1,20,1,1,0,0,0,1
173,1,98.1,10,1,4,1,2,3,0,1
118,0,116.1,6,2,4,3,0,3,0,0
49,0,71.0,12,30,3,4,0,0,0,1
5,1,111.0,11,18,4,2,0,0,0,1
9,1,245.0,9,30,4,3,2,0,5,1
0,0,87.0,6,15,3,2,0,1,0,1
6,2,170.0,8,14,4,2,2,0,3,1
51,1,75.95,3,7,4,3,1,0,0,1
0,0,120.0,10,13,4,1,0,3,0,1
346,1,115.0,9,13,3,2,0,1,0,0
18,0,89.0,6,23,4,1,0,3,0,1
116,1,105.3,5,18,4,1,0,0,0,1
129,1,80.75,5,13,3,2,1,0,0,1
60,0,74.8,12,2,4,2,2,3,0,0
51,1,96.3,9,7,4,1,0,3,0,1
56,0,185.0,9,25,3,2,2,0,0,1
164,0,100.0,10,2,3,2,0,0,0,1
68,1,105.3,7,27,4,3,0,0,0,0
175,1,87.32,9,30,4,2,2,0,0,1
330,0,172.8,8,31,4,2,0,0,5,0
14,0,100.0,10,15,3,2,0,0,0,1
273,0,109.0,7,17,4,2,0,1,0,0
276,0,95.67,9,22,3,3,0,0,0,1
12,1,150.5,8,16,4,2,0,3,0,1
5,0,105.33,10,31,4,1,2,0,0,1
276,0,61.0,5,13,3,3,2,0,0,0
107,2,137.7,7,13,4,3,0,0,3,1
37,0,96.3,4,30,3,3,2,0,3,1
270,1,80.0,4,20,3,4,0,0,0,1
9,0,119.5,5,18,4,2,0,0,1,0
0,0,134.0,3,26,4,1,1,3,0,1
103,0,80.0,5,4,3,3,0,0,0,1
73,0,62.5,10,28,3,1,0,0,0,1
13,0,80.0,3,17,3,3,0,0,0,1
11,1,75.92,3,1,4,2,0,0,0,1
2,2,83.0,3,31,2,2,0,0,0,1
221,0,65.0,10,10,3,1,2,0,0,1
20,2,210.57,7,29,4,2,0,0,6,1
86,1,56.93,2,20,4,3,2,0,0,1
304,0,89.0,11,3,4,3,0,0,0,0
53,1,137.7,4,7,4,3,0,0,3,1
10,1,99.0,7,29,4,1,0,3,0,1
265,0,100.3,10,9,4,3,2,0,0,0
48,1,118.8,4,10,4,0,2,0,3,1
50,0,60.0,11,13,3,2,1,0,3,1
73,1,76.5,4,3,4,1,2,3,0,1
34,0,224.67,9,23,3,3,0,1,0,0
41,1,57.83,2,9,4,2,0,0,0,1
17,0,95.0,5,21,3,1,2,0,0,1
245,0,128.7,10,28,4,2,1,0,0,0
122,1,85.5,6,30,4,1,0,3,0,1
26,0,65.0,10,21,2,1,0,0,0,1
103,0,55.96,8,22,4,5,2,0,0,1
125,0,89.75,8,29,3,3,1,0,0,1
291,0,68.0,12,28,3,5,2,0,0,1
92,0,100.0,3,26,3,1,2,0,0,0
240,0,80.75,10,27,4,3,1,3,0,0
33,0,108.0,10,2,4,1,2,3,0,1
1,0,100.47,12,7,4,4,1,0,3,1
207,1,168.3,8,4,4,1,0,0,5,0
26,0,120.0,6,8,3,1,0,0,0,1
209,1,90.95,8,16,4,4,0,0,0,0
144,1,112.03,5,22,4,3,2,0,3,1
60,0,75.0,3,20,3,2,2,0,0,0
13,2,116.0,7,20,4,1,0,0,3,1
16,1,184.0,9,22,4,1,0,0,3,1
99,1,96.3,4,13,4,2,0,0,0,0
14,0,107.0,12,27,4,2,2,0,0,1
29,2,131.72,7,16,4,3,2,0,0,1
5,1,60.0,9,2,3,1,0,0,0,1
51,2,187.11,9,16,4,2,2,0,5,1
161,1,97.75,7,7,4,3,1,3,0,0
0,0,79.0,2,15,4,0,1,3,0,1
49,1,170.1,5,9,4,4,1,1,0,1
65,0,89.1,6,21,4,3,0,3,0,0
205,0,90.0,5,29,3,1,2,0,0,0
94,0,76.5,4,16,4,2,2,3,0,0
207,0,98.1,10,4,4,1,0,3,0,0
3,1,65.0,3,20,2,0,2,0,0,1
180,1,120.0,10,10,3,2,1,0,0,0
83,1,101.15,9,4,3,0,1,0,4,1
221,0,73.0,8,12,3,1,0,1,0,1
73,0,67.83,11,24,3,3,0,0,0,1
131,2,136.5,7,10,4,2,2,0,0,1
228,0,0.0,6,4,4,0,0,0,0,0
109,1,77.03,4,30,4,1,2,0,0,1
3,1,129.0,2,8,4,0,1,1,0,1
17,2,109.45,9,9,4,2,1,0,1,1
91,0,43.43,1,1,3,5,2,0,0,1
92,1,63.75,8,6,3,3,0,0,0,1
161,0,130.05,12,26,4,3,1,1,3,1
32,1,126.26,6,26,4,5,2,0,3,1
19,0,130.0,5,2,4,2,1,0,0,1
3,1,75.0,1,5,4,1,0,3,0,1
53,0,120.0,10,14,3,1,0,0,0,1
102,0,101.5,10,16,4,2,0,1,0,0
221,0,187.0,7,2,4,2,2,0,5,0
247,1,115.0,6,6,3,1,1,1,0,0
0,1,111.0,6,14,4,1,0,0,0,1
123,1,118.8,9,5,4,3,1,3,0,0
62,0,89.24,5,9,3,1,1,0,0,1
21,0,91.0,2,13,4,1,1,0,0,0
109,4,131.8,7,8,4,2,0,0,0,1
17,3,73.88,10,1,4,2,0,0,0,1
386,1,115.0,10,23,3,0,2,1,0,0
24,1,101.0,11,8,4,0,2,0,0,1
2,2,100.1,8,17,4,1,0,0,0,1
38,0,133.8,3,24,4,3,0,0,0,0
273,0,95.0,5,13,4,2,1,0,0,0
279,0,110.0,10,12,3,3,0,0,0,0
75,0,105.0,10,30,3,0,2,1,0,0
71,0,120.0,6,14,3,3,0,0,0,1
23,0,89.0,4,18,4,1,1,3,0,0
22,0,95.0,4,18,4,1,1,0,0,1
75,0,105.0,10,30,4,0,2,1,0,0
119,1,104.4,10,27,4,3,0,0,3,0
86,1,107.69,7,1,3,2,1,0,0,1
11,2,141.0,8,20,4,1,1,0,0,1
4,1,98.0,6,7,2,1,0,0,0,1
83,1,107.46,4,26,4,5,2,0,0,1
3,2,156.0,4,1,4,2,0,0,3,1
110,0,94.5,7,25,3,1,2,1,0,0
31,0,75.0,9,16,3,2,1,0,0,0
20,1,89.0,6,26,4,0,1,3,0,1
63,0,168.3,8,9,4,3,0,0,3,1
3,0,139.13,9,19,2,0,1,0,0,1
159,0,144.0,9,19,3,2,1,0,0,0
106,1,84.58,7,13,3,4,0,0,0,1
195,2,112.2,8,17,4,5,2,0,3,0
150,1,90.0,6,16,3,3,0,1,0,1
34,1,82.23,9,25,4,1,2,3,0,1
95,1,72.25,11,27,4,2,0,0,0,0
7,0,158.0,12,30,4,2,0,0,0,1
185,2,128.7,10,20,4,2,0,0,3,0
152,1,114.43,12,27,4,6,2,0,0,1
